Provinsi,2017,2018,2019,2020,2021
Aceh,27.05,28.78,26.92,28.8,28.6
Sumatera Utara,27.42,28.57,27.41,28.9,28.9
Sumatera Barat,25.32,26.91,25.61,27.6,27.3
Riau,27.51,27.37,27.47,27.3,27
Jambi,26.98,27.08,27.06,27.3,27.2
Sumatera Selatan,27.53,29.25,27.83,29.1,29.1
Bengkulu,26.86,28.58,26.87,29,28.7
Lampung,26.91,27.07,27.2,27.1,27.1
Kep. Bangka Belitung,27.04,28.49,26.63,28.4,28.2
Kepulauan Riau,27.31,27.53,27.96,27.8,27.6
DKI Jakarta,28.63,28.67,28.76,28.8,28.5
Jawa Barat,23.33,26.35,26.31,26.4,26.2
Jawa Tengah,28.09,29.5,28.48,29.5,29.2
D.I Yogyakarta,26.06,27.68,25.94,28,27.8
Jawa Timur,28.08,24.89,25.1,25.3,25.1
Banten,27.2,29.75,30.04,29.5,29.3
Bali,27.24,27.55,27.8,28.2,28
Nusa Tenggara Barat,26.58,28.67,28.69,28.8,28.7
Nusa Tenggara Timur,27.67,28.71,29.28,29.9,29.6
Kalimantan Barat,26.93,28.64,28.93,28.9,28.9
Kalimantan Tengah,27.48,27.3,27.28,27.5,27.3
Kalimantan Selatan,27.12,28.75,29.36,28.6,28.2
Kalimantan Timur,27.73,27.55,27.73,27.6,27.5
Kalimantan Utara,27.41,27.5,27.94,27.8,27.4
Sulawesi Utara,26.48,16.81,27.53,28.5,28.2
Sulawesi Tengah,27.5,27.7,27.87,27.6,27.2
Sulawesi Selatan,27.2,28.77,29.26,29,28.5
Sulawesi Tenggara,27.34,27.24,27.11,27.3,27.1
Gorontalo,27.24,27.35,27.49,27.3,27.1
Sulawesi Barat,27.33,27.87,28.07,28.1,27.7
Maluku,27.04,26.8,26.68,26.9,26.7
Maluku Utara,27.08,27.59,27.7,27.7,27.4
Papua Barat,27.51,27.16,27.21,27.4,27.1
Papua,28.04,27.31,27.46,27.9,27.5
Indonesia,27.12470588,27.52176471,27.61705882,28.05294118,27.82058824
